C|TF|20190304|140358|CARD||000000000000||2024|취소패스워드 불일치
C|TF|20190304|140449|CARD||000000000000||2024|취소패스워드 불일치
C|TF|20190304|141037|CARD||000000000000||2024|취소패스워드 불일치
C|TF|20190304|141501|CARD||000000000000||2024|취소패스워드 불일치
C|TF|20190304|141642|CARD||000000000000||2024|취소패스워드 불일치
C|TF|20190304|142340|CARD||000000000000||2024|취소패스워드 불일치
C|TF|20190304|142402|CARD||000000000000||2024|취소패스워드 불일치
C|TF|20190304|143311|CARD||000000000000||2024|취소패스워드 불일치
C|TF|20190304|152102|CARD||000000000000||2024|취소패스워드 불일치
C|TF|20190304|152128|CARD||000000010150||2015|해당거래 취소실패(기취소성공) : 전화 문의(1661-0808)
C|TF|20190304|152203|CARD||000000014000||2001|취소 성공
C|TF|20190304|152633|CARD||000000023000||2001|취소 성공
C|TF|20190304|152710|CARD||000000014000||2001|취소 성공
C|TF|20190304|152722|CARD||000000014000||2001|취소 성공
C|TF|20190304|152824|CARD||000000010150||2015|해당거래 취소실패(기취소성공) : 전화 문의(1661-0808)
C|TF|20190304|154857|CARD||000000014000||2001|취소 성공
C|TF|20190304|164235|CARD||000000011500||2001|취소 성공
C|TF|20190304|165446|CARD||000000019800||2001|취소 성공
C|TF|20190304|165634|CARD||000000014000||2001|취소 성공
